  ,Цели блока,№ ,Название проекта,Краткое описание проекта,"Образовательные результаты (знает, понимает, умеет)",Список навыков,Уровень аудитории,Обязательные инструменты (через запятую),Сторителлинг,Формат,Кол-во в группе,"Трудоемкость, астр.часы","Трудоемкость, дни","Общая трудоемкость, дни",XP за проект,Название проекта на платформе и в Gitlab,Ссылки на GitLab/Google docs
Блок 4. Планирование и бюджетирование IT проектов,"Реверсивное и прогрессивное планирование
Понятие временного и ресурсного буфера
Диаграмма сгорания задач (Burndown chart)
Оценка задач по времени: экспертная, сравнительная, пошаговая
Балансировка ресурсов и распределение задач
Инструменты визуализаци: Excel, Asana, GitLab, Azure DevOps
Создание бэклога по требованиям проекта
Отслеживание статуса задач и переходов между этапами
Планирование с учетом релизных циклов CI/CD 
Agile и Scrum в контексте планирования
Интеграция диаграмм в цифровую среду проекта",10,Как эффективно планировать,Основные методы планирования с учетом специфика IT-проектов,"Формировать и визуализировать бэклог проекта
Применять методы реверсивного и прогрессивного планирования
Создавать диаграмму сгорания и использовать её для анализа
Оценивать длительность задач с учётом буферов
Декомпозировать задачи по этапам разработки
Планировать с учетом релизных циклов 
Использовать Asana или другие инструменты планирования
Отслеживать и анализировать прогресс по задачам","DevOps
Types and data structures
Project planning
Project management
Analytical thinking
Requirements analysis
",Базовый,"Markdown, таблицы, Miro",Ты работаешь младшим project manager в учебной IT-команде. Тебе нужно применить тему «Как эффективно планировать» к рабочему кейсу: Основные методы планирования с учетом специфика IT-проектов,индивидуальный,,12,"4,08",8,120,PjM10_EffPlan,https://platform.21-school.ru/admin/materials/projects/73284
,"Work Breakdown Structure (WBS, ИСР) и формы её визуализации
Декомпозиция этапов проекта до уровня пакетов работ
Дорожная карта проекта (roadmap)
Построение диаграммы Ганта и её ключевые элементы
Зависимости между задачами и этапами проекта
Планирование работ в кросс-командных проектах/ с внешними API-интеграциями
Сетевая диаграмма (PERT): узловая и стрелочная
Определение критического пути проекта
Гибкость и прозрачность планирования
Визуальные инструменты: ClickUp, Miro, Asana, Excel
Интеграция таск-доски и графиков выполнения",11,Формирование плана работ на основе бэклога,"Работа с диаграммой Ганта, определение зависимостей, фиксирование рисков, синхронизация бэклога с дорожной картой","Создавать и визуализировать структуру декомпозиции проекта
Формировать дорожную карту проекта
Работать с диаграммой Ганта и настраивать зависимости
Оценивать взаимосвязи и критические участки в плане
Управлять проектом с зависимостями во внешних командах
Использовать инструменты ClickUp, Asana, Miro
Разбивать проект на управляемые блоки и пакеты работ
Визуально представлять план реализации и прогресса","DevOps
Types and data structures
Project planning
Project management
Analytical thinking
",Базовый,"Miro, таблицы, Markdown","Ты помогаешь команде продукта перевести пользовательские проблемы в понятные user stories и бэклог. Заказчик хочет быстро увидеть, какие задачи попадут в ближайший спринт.",индивидуальный,,12,"4,08",8,120,PjM11_Backlog,https://platform.21-school.ru/admin/materials/projects/73285
,"Часовая ставка специалиста и составные элементы стоимости
Понятие человеко-часов и методы их расчёта
Расчёт трудозатрат по этапам проекта
Декомпозиция задач и детализация сметы
Составление финансового плана проекта
Роли и ставки специалистов в digital-проектах
Расходы проекта на платные сервисы:  облачные решения, безопасность, др.
Модели ценообразования (pay-as-you-go, reserved instances)
Подходы к оценке бюджета: Bottom-Up, Top-Down, Analogous
Работа с шаблоном сметы (табличный формат)
Анализ рисков и допущений при расчёте бюджета
Практика самостоятельного составления бюджета на собственный проект",12,Бюджет IT проекта и составление сметы,"Понятие расходов в проекте: человеко-часы, платные сервисы. Расчет необходимого количества времени на каждый из этапов разработки проекта. ","Оценивать объём работ в человеко-часах
Определять состав проектной команды и роль каждого специалиста
Учитывать оплату облачных решений в проекте
Разбираться в форматах подписки платных сервисов
Рассчитывать ставки и формировать структуру расходов
Составлять подробную и прозрачную смету
Работать с шаблонами бюджетов в Excel
Адаптировать подходы оценки под специфику проекта
Оформлять вводную часть и защищать финансовые расчёты","Project management
Analytical thinking
Requirements analysis
Business modeling",Базовый,"Markdown, таблицы, Miro","Ты готовишь оценку IT-проекта перед согласованием бюджета. Команда дала предварительные трудозатраты, а заказчику нужно увидеть понятную смету и риски перерасхода.",индивидуальный,,12,"4,08",8,120,PjM12_Budget,https://platform.21-school.ru/admin/materials/projects/73286
Блок 5. Soft skills,"Особенности деловой переписки в IT
Тональность и стиль сообщений в разных каналах
Структура эффективного письма (тема, обращение, содержание, call to action, срок, подпись)
Форматы деловой коммуникации: e-mail, мессенджеры
Этикет в чатах и правила деловой переписки в мессенджерах
Типичные ошибки: клише, обтекаемые фразы, пассивный залог
Адаптация языка в зависимости от аудитории (разработчики, заказчики, пользователи)
Книга «Новые правила деловой переписки» М. Ильяхова и Л. Сарычевой
Правила оформления: визуальная структура, пунктуация, краткость
Знакомство с нюансами общения в международных комантах
Переработка письма и составление рекомендаций",13,Деловая переписка,"Деловая переписка в IT, особенности коммуникации с заказчиком и с командой ","Писать эффективные письма и сообщения с учётом цели
Адаптировать стиль под адресата
Избавляться от клише и лишних слов
Структурировать информацию в письме
Формулировать call to action и обозначать сроки
Работать с деловыми форматами (e-mail, чат)
Эффективно коммуницировать в международных командах и на иностранном языке 
Оформлять тексты визуально читаемо и грамотно","Leadership
Project management
Requirements analysis
Business modeling",Базовый,"Markdown, почта/мессенджер, презентация","Ты представляешь команду в переписке с заказчиком. Нужно сохранить деловой тон, уточнить спорные вопросы и зафиксировать договоренности так, чтобы их можно было проверить позже.",индивидуальный,,12,"4,08",8,120,PjM13_BusCorr,https://platform.21-school.ru/admin/materials/projects/73287
,"Что такое переговоры и в каких ситуациях они происходят
Этапы переговоров: подготовка, обсуждение, принятие решений, реализация
Виды переговоров: внутренние, внешние, международные
Подготовка к переговорам: цели, интересы, стратегия, коммуникационный план
Навыки переговорщика: активное слушание, эмпатия, доверие, аргументация, работа с конфликтами
Сложности в переговорах: манипуляции, агрессия, профессиональные барьеры
Базовые стратегии переговоров: приспособление, компромисс, сотрудничество и др.
Арена торга и определение границ договорённости
Инструменты и техники переговоров: «открытая дверь», «салями» и др.
Практика моделирования переговоров с заказчиком по бюджету
",14,Эффективные переговоры,"Стратегии переговоров, применение максимально эффективной стратегии","Готовиться к переговорам и формулировать цели
Выбирать и применять стратегии переговоров
Анализировать интересы сторон и предлагать взаимовыгодные решения
Использовать инструменты убеждения и снятия возражений
Работать с конфликтами и управлять эмоциями
Моделировать кейсы переговоров
Выстраивать коммуникацию со стороной заказчика/клиента
Оформлять выводы в структурированной форме (таблица, презентация)","Project management
Requirements analysis
Business modeling",Базовый,"Markdown, почта/мессенджер, презентация","Ты участвуешь во встрече с заказчиком, который просит расширить объем работ без изменения сроков. Нужно выбрать стратегию переговоров и защитить интересы проекта.",индивидуальный,3-4,12,"4,08",8,120,PjM14_EffNeg,https://platform.21-school.ru/admin/materials/projects/73288
,"Преодоление страха и волнения перед выступлением
Работа с критикой и возражениями во время публичных диалогов
Управление интонацией, голосом и невербальными сигналами
Развитие выразительной и богатой речи
Структура выступления: техника SERMON и «рыбий скелет»
Сторителлинг как инструмент вовлечения аудитории
Формат TED-talk и подходы к подготовке содержательной речи
Работа с аудиторией и зрительным контактом
Подготовка презентации и визуального сопровождения
Практика командного публичного выступления",15,Публичные выступления,"Подготовка к публичному выступлению: работа с волнением, голосом и речью.","Справляться с волнением перед выступлением
Структурировать речь по технологии SERMON
Говорить уверенно, эмоционально и по делу
Использовать сторителлинг для вовлечения аудитории
Работать с критикой и конструктивно отвечать на вопросы
Готовить текст и презентацию для публичного выступления
Учитывать аудиторию и управлять вниманием слушателей","Project management
Business modeling",Базовый,"Markdown, почта/мессенджер, презентация","Тебе нужно представить результаты проекта аудитории, которая не погружена в детали. Важно показать цель, ограничения, принятые решения и следующие шаги без перегрузки слушателей.",групповой,3-4,16,"5,44",9,160,PjM15_PubApp,https://platform.21-school.ru/admin/materials/projects/73289
,,16,Публичные выступления,"Подготовка к публичному выступлению: работа с волнением, голосом и речью.","Справляться с волнением перед выступлением
Структурировать речь по технологии SERMON
Говорить уверенно, эмоционально и по делу
Использовать сторителлинг для вовлечения аудитории
Работать с критикой и конструктивно отвечать на вопросы
Готовить текст и презентацию для публичного выступления
Учитывать аудиторию и управлять вниманием слушателей",,Базовый,"Markdown, почта/мессенджер, презентация","Тебе нужно представить результаты проекта аудитории, которая не погружена в детали. Важно показать цель, ограничения, принятые решения и следующие шаги без перегрузки слушателей.",групповой,3-4,16,"5,44",9,160,,
Блок 6. Управление командой проекта,"Стили лидерства: авторитарный, демократический, либеральный, ситуативный
Принципы и примеры Agile-лидерства
Планирование коммуникации и формирование командных правил
Распределённая команда и вызовы, связанные с удалённой работой
Правила эффективных созвонов и встреч
Роль менеджера в предотвращении и разрешении конфликтов
Доверие в команде и управление через пример
Опросы, ""измерение температуры"" в команде
Коммуникация в разных организационных структурах: функциональной, проектной, матричной
Ограничения и возможности в зависимости от иерархии и структуры
Решение кейсов: управление конфликтами и зависимостями между командами  ",16,Коммуникация внутри команды IT проекта,"Управление командой с учетом организационной структуры компании, стили управления командой, формирование правил коммуникации в команде. ","Применять различные стили лидерства в зависимости от ситуации
Организовывать эффективную коммуникацию внутри команды
Разрабатывать командные правила и фиксировать договорённости
Планировать и документировать стратегию разрешения конфликтов
Управлять коммуникацией в распределенной команде
Оценивать психологическое состояние членов команды
Аргументировать свою позицию в переговорах внутри компании
Работать с ограничениями, накладываемыми структурой организации
Выстраивать доверие и предотвращать эмоциональное выгорание в команде","Leadership
Project planning
Project management",Базовый,"Markdown, почта/мессенджер, презентация","Ты работаешь с командой, где участники по-разному понимают ответственность и сроки. Нужно выстроить коммуникацию, снизить напряжение и сохранить движение проекта.",индивидуальный,,12,"4,08",8,120,PjM16_TeamCom,https://platform.21-school.ru/admin/materials/projects/73290
,"Поддержание мотивации в команде и соблюдение договорённостей
Индивидуальная мотивация: цели, развитие, признание. 
Мотивация и карьерный рост в условиях удаленной работы. 
Техника one-to-one встреч с членами команды  
Профилактика выгорания членов команды: ранние признаки и способы борьбы
Типы конфликтов: конструктивные и деструктивные
Принципы конструктивного разрешения споров
Роль культуры и лидерства в профилактике конфликтов
Пять стратегий управления конфликтами (по К. Томасу): избегание, конкуренция, приспособление, компромисс, сотрудничество
Разбор триггеров и сценариев конфликтов
Работа с кейсами на примере команд из популярных фильмов
Презентация анализа взаимодействий и выводов по улучшению командной динамики",17,Управление мотивацией и конфликтами внутри команды,"Как мотивировать команду соблюдать сроки и договоренности по проекту. Как избегать конфликты или урегулировать их, если они наступили. Как мотивировать сотрудников, в частности в распределенной команде.","Мотивировать команду и отдельных участников в офлайн и онлайн работе
Проводить one-to-one встречи с анализом мотивационного фона
Различать типы конфликтов и их динамику
Выбирать и применять стратегии разрешения конфликтов.
Улавливать ранние признаки выгорания членов команды и противостоять этому
Анализировать командное взаимодействие на примерах
Оформлять выводы и предлагать улучшения в формате презентации","Leadership
Team work
Project management
Requirements analysis
Change management
",Базовый,"Markdown, таблицы","Ты работаешь с командой, где участники по-разному понимают ответственность и сроки. Нужно выстроить коммуникацию, снизить напряжение и сохранить движение проекта.",групповой,3-4,16,"5,44",9,160,PjM17_TeamMng,https://platform.21-school.ru/admin/materials/projects/73291
Блок 7. Разработка проекта,"Этап аналитики в проектной деятельности
Роли аналитиков: бизнес-, системный, функциональный, pre-sales и другие
Сбор и документирование требований
Архитектура IT-продукта: монолит, микросервисы, серверлес
Работа с базами данных, инструмент DBeaver, Excel, SQL. Базовые принципы Data Mesh.
Работа с техническим писателем и архитектором
Визуальные инструменты: диаграммы, схемы, графики
Проектные роли менеджера на этапе аналитики и архитектуры
Модели бизнес-процессов: AS-IS, TO-BE, SHOULD-BE
Диаграмма последовательностей и диаграмма компонентов 
Инструменты визуализации: Miro, Lucidchart, Draw.io
Практика построения схем процессов и архитектуры
",18,Аналитика и архитектура проекта,"Основы бизнес и системной аналитики, применение инструментов визуализации данных, основы архитектуры продукта.","Проводить бизнес-анализ и документировать процессы
Различать и описывать роли аналитиков
Работать с архитектурными концепциями и понимать их различия
Создавать модели AS-IS и TO-BE
Использовать инструменты визуализации бизнес-процессов
Формулировать требования и предложения по улучшению процессов
Обосновывать выбор архитектурного решения и формировать техническое видение","
Types and data structures
Project management
Analytical thinking
",Средний,"Google Analytics, Яндекс Метрика, Google Tag Manager, таблицы","Ты работаешь младшим project manager в учебной IT-команде. Тебе нужно применить тему «Аналитика и архитектура проекта» к рабочему кейсу: Основы бизнес и системной аналитики, применение инструментов визуализации данных, основы архитектуры продукта.",индивидуальный,,12,"4,08",8,120,PjM18_Analytic,https://platform.21-school.ru/admin/materials/projects/73292
,"Различия между UX-, UI- и web-дизайном
Роль проектного менеджера в процессе проектирования
Основы UX/UI: юзабилити, пользовательский опыт, визуальный стиль
Прототипирование: цели, последовательность, ошибки, уровни детализации
Создание дизайн-систем: компоненты, цвет, типографика, кнопки
Финализация макетов: согласование, оценка правок, работа с заказчиком
Инструменты дизайна: Figma, шаблоны, плагины, совместная работа
Визуальное мышление и насмотренность как компетенции менеджера
Тексты в дизайне
Коммуникация между дизайнером и разработчиком
Практика оформления дизайн-системы в Figma",19,Прототипирование и дизайн,Изучение инструментов для разработки прототипов продукта. Взаимодействие Project Manager с дизайнером.,"Создавать простую дизайн-систему и оформлять её в Figma
Различать UX-, UI- и web-дизайн и понимать роли дизайнеров
Работать с макетами, шаблонами и визуальными компонентами
Работать с текстами в дизайне
Ставить задачи дизайнеру, формровать правки, принимать макеты
Понимать этапы прототипирования и участвовать в их реализации
Оценивать пригодность решений с точки зрения времени и бюджета
Коммуницировать с заказчиком по поводу финализации макетов
Формировать визуальный стиль и применять готовые решения","Project planning
Project management
Analytical thinking
",Средний,"Figma, Miro, Markdown","Команда готовит ранний прототип продукта для обсуждения с заказчиком. Тебе нужно согласовать ожидания, передать дизайнеру понятный контекст и проверить, что прототип отвечает цели проекта.",индивидуальный,,20,"6,8",10,200,PjM19_ProtDsgn,https://platform.21-school.ru/admin/materials/projects/73293
